bedrooms,bathrooms,square_feet,home_value,year,taxes,fips_number
6.0,6.0,5063,1075582.0,2001,12612.19,6037
4.0,3.0,2260,452499.0,2001,5950.46,6037
5.0,3.0,2889,750000.0,2001,9131.57,6037
3.0,3.0,2969,707359.0,1999,9192.91,6037
4.0,3.0,2768,536000.0,1999,7430.37,6037
4.0,3.0,2754,604000.0,2000,8021.99,6037
3.0,3.0,2510,460774.0,2000,5647.57,6037
5.0,3.0,2872,688000.0,2000,8322.02,6037
5.0,3.0,3536,1152000.0,2001,14051.0,6037
4.0,4.0,3690,620666.0,2001,8282.81,6037
3.0,4.0,1700,173581.0,1946,2262.98,6037
4.0,3.0,1994,364821.0,1999,5704.85,6037
4.0,3.0,2152,432149.0,2001,6443.04,6037
4.0,4.0,3255,506135.0,2001,6926.96,6037
4.0,3.0,3160,602541.0,2003,8224.76,6037
6.0,6.0,4363,896172.0,2000,11390.76,6037
6.0,3.0,2588,561000.0,2001,7505.72,6037
5.0,3.0,3054,351982.0,2001,5163.51,6037
4.0,3.0,2375,223366.0,2001,3634.05,6037
4.0,3.0,2941,607000.0,2001,8669.02,6037
4.0,3.0,2487,519028.0,2001,7009.15,6037
4.0,3.0,2850,684000.0,2003,9154.03,6037
4.0,4.0,3241,820632.0,2000,9307.78,6037
4.0,3.0,1582,272387.0,2000,3537.67,6037
5.0,3.0,2690,538466.0,1999,9070.82,6037
5.0,5.0,6583,1355110.0,2001,16279.41,6037
5.0,5.0,4674,1210531.0,2001,14696.74,6037
5.0,6.0,5147,1540130.0,2001,19658.28,6037
4.0,3.0,2352,286385.0,2002,4048.06,6037
5.0,3.0,3028,597606.0,2003,7740.54,6037
5.0,3.0,3336,362000.0,2004,5186.12,6037
4.0,3.0,2557,544585.0,2002,6691.16,6037
4.0,4.0,3241,949258.0,2003,12561.95,6037
3.0,3.0,2430,562000.0,2002,8464.89,6037
5.0,3.0,3529,432000.0,2002,6446.39,6037
3.0,2.0,1586,241574.0,2002,3695.61,6037
5.0,3.0,3615,734993.0,2004,9741.49,6037
4.0,3.0,3382,639000.0,2002,8560.3,6037
5.0,3.0,3178,615222.0,2002,9188.34,6037
5.0,4.0,3510,751566.0,2002,9557.35,6037
5.0,6.0,5289,3179237.0,2002,38462.14,6037
4.0,5.0,5805,1559912.0,1998,18336.5,6037
5.0,5.0,4247,1231950.0,2002,14553.47,6037
4.0,6.0,4171,1346193.0,2003,17260.33,6037
5.0,6.0,4581,1565031.0,2004,19961.82,6037
4.0,5.0,3960,831387.0,2003,11107.86,6037
4.0,3.0,2699,679884.0,2003,10956.73,6037
4.0,3.0,2660,495491.0,2002,6052.1,6037
3.0,3.0,2884,362000.0,2003,5695.61,6037
5.0,4.0,2703,562781.0,2002,6899.64,6037
5.0,4.0,3456,598000.0,2005,10546.39,6037
5.0,3.0,2668,363809.0,2003,5517.86,6037
3.0,2.0,1880,234623.0,2003,4054.53,6037
3.0,2.0,2308,493000.0,2001,6425.91,6037
4.0,4.0,3482,393000.0,2003,6093.05,6037
4.0,3.0,2976,2319534.0,1954,28207.58,6037
4.0,3.0,2667,648428.0,2004,7832.26,6037
4.0,3.0,2443,762655.0,2003,9364.16,6037
4.0,3.0,1509,331781.0,2003,4190.88,6037
5.0,3.0,2996,191451.0,2004,3238.3,6037
4.0,4.0,3777,904311.0,2004,10786.56,6037
3.0,2.0,2016,554115.0,1963,6965.26,6037
3.0,3.0,3992,280303.0,2005,4325.92,6037
5.0,3.0,2736,252152.0,2004,5301.1,6037
3.0,2.0,1514,582000.0,2005,7040.85,6037
3.0,3.0,1881,1057000.0,2004,12508.47,6037
4.0,3.0,2792,824238.0,2005,10036.52,6037
3.0,2.0,1850,297629.0,1938,3752.13,6037
2.0,2.0,1460,213714.0,1986,3188.48,6037
3.0,2.0,1392,215566.0,1985,3121.8,6037
5.0,5.0,5077,761470.0,2004,7958.26,6037
4.0,3.0,2632,371371.0,2004,4625.0,6037
4.0,4.0,4050,510401.0,2004,6935.88,6037
2.0,2.0,1932,295000.0,1998,3510.02,6037
3.0,2.0,2240,290209.0,1989,3442.8,6037
2.0,2.0,1488,179911.0,1980,2271.99,6037
2.0,1.0,768,93581.0,1983,1719.47,6037
3.0,2.0,960,91548.0,1986,1787.36,6037
3.0,2.0,1540,136294.0,2004,2527.29,6037
3.0,2.0,1521,107726.0,1992,1389.15,6037
6.0,7.0,7231,3543085.0,2001,41830.59,6037
4.0,3.0,3036,712965.0,2004,9214.19,6037
4.0,1.0,1466,136600.0,1929,1844.19,6037
3.0,2.0,1300,275867.0,2000,3389.78,6037
8.0,7.0,7101,2283352.0,2005,28113.13,6037
3.0,3.0,1726,517124.0,1933,6391.53,6037
4.0,5.0,4953,1251000.0,2004,15319.16,6037
2.0,2.0,1693,583768.0,2004,7991.72,6037
5.0,4.0,3851,667000.0,2004,8404.76,6037
5.0,3.0,2745,342000.0,2004,5449.55,6037
5.0,3.0,2745,344000.0,2004,5557.47,6037
4.0,3.0,3592,363700.0,2004,7032.92,6037
4.0,2.0,2734,384199.0,2004,5424.92,6037
3.0,3.0,4044,386172.0,2004,5503.41,6037
5.0,5.0,3736,789000.0,2004,13381.4,6037
4.0,3.0,2734,468639.0,2004,6360.6,6037
5.0,4.0,3447,658000.0,2005,8685.75,6037
5.0,4.0,3015,573595.0,2005,7772.28,6037
3.0,3.0,1650,426361.0,2004,5714.0,6037
4.0,3.0,3295,353300.0,2005,5535.6,6037
4.0,3.0,2504,279000.0,2004,5629.51,6037
3.0,3.0,2523,289500.0,2004,4396.37,6037
4.0,5.0,3695,1997242.0,2004,23058.45,6037
4.0,4.0,3691,736644.0,2003,11082.89,6037
4.0,3.0,2982,193637.0,2004,3288.63,6037
3.0,2.0,2430,307400.0,2005,4520.93,6037
4.0,3.0,1566,326027.0,2002,4305.6,6037
4.0,3.0,2843,295000.0,2005,4376.78,6037
4.0,3.0,1947,665745.0,2005,8646.84,6037
4.0,3.0,1566,395133.0,2002,5134.74,6037
3.0,3.0,1846,515000.0,2005,6969.87,6037
3.0,3.0,2015,556000.0,2005,7484.77,6037
5.0,6.0,6114,1416000.0,2006,17292.41,6037
6.0,8.0,6975,1543000.0,1989,18849.74,6037
2.0,1.0,1070,166930.0,1923,2148.82,6037
3.0,3.0,2510,248526.0,2005,5452.15,6037
3.0,4.0,2718,1150000.0,2005,12635.05,6037
5.0,4.0,3518,598297.0,2005,7907.85,6037
4.0,6.0,4434,1015873.0,2005,12362.39,6037
5.0,6.0,4867,1277065.0,2005,15395.16,6037
5.0,3.0,3270,259512.0,2005,5240.05,6037
5.0,5.0,3421,281384.0,2006,5647.71,6037
4.0,3.0,2374,517938.0,2005,6454.19,6037
4.0,2.0,2378,269000.0,2005,4397.73,6037
4.0,4.0,2593,289000.0,2005,4393.53,6037
5.0,3.0,2544,182496.0,2005,4962.98,6037
4.0,3.0,2867,280000.0,2005,5699.1,6037
4.0,3.0,3019,562920.0,2005,6970.7,6037
3.0,2.0,2997,332000.0,2005,6895.02,6037
6.0,4.0,3394,202843.0,2005,3316.75,6037
5.0,3.0,3448,244255.0,2005,5887.58,6037
4.0,3.0,2766,263500.0,2005,3927.43,6037
4.0,3.0,2927,302000.0,2005,4304.95,6037
4.0,3.0,2381,281000.0,2005,4142.96,6037
3.0,3.0,3003,219102.0,2006,5455.84,6037
2.0,2.0,1914,1135527.0,1975,13256.4,6037
8.0,6.0,6176,521757.0,1987,6336.23,6037
4.0,3.0,2674,692639.0,1989,9141.63,6037
5.0,4.0,3228,1320355.0,1922,15993.01,6037
2.0,3.0,2889,134835.0,1964,1787.44,6037
4.0,3.0,2740,190567.0,2007,3288.31,6037
4.0,4.0,3111,881076.0,2006,10718.76,6037
4.0,3.0,2013,162335.0,2005,2034.77,6037
4.0,4.0,2788,797000.0,2005,10249.2,6037
3.0,3.0,1584,162337.0,2006,4074.15,6037
5.0,3.0,2632,234000.0,2006,3818.61,6037
4.0,2.0,1923,235000.0,2006,4152.28,6037
4.0,3.0,1908,215000.0,2006,3472.73,6037
5.0,3.0,2632,167746.0,2006,3018.34,6037
4.0,3.0,2843,179912.0,2006,3090.73,6037
5.0,3.0,3190,283391.0,2006,7918.12,6037
3.0,2.0,980,192926.0,2006,2431.25,6037
3.0,6.0,3118,1605077.0,2006,19525.79,6037
3.0,2.0,2318,290000.0,2006,3481.65,6037
3.0,3.0,3427,295882.0,2006,5071.54,6037
3.0,3.0,2158,213418.0,2006,3539.12,6037
4.0,3.0,3195,221860.0,2006,5084.78,6037
7.0,4.0,3757,245337.0,2006,5545.85,6037
6.0,4.0,2496,316000.0,2006,4277.34,6037
4.0,4.0,3382,502000.0,2005,6962.66,6037
4.0,4.0,2788,509714.0,2006,6351.0,6037
4.0,2.0,2276,259000.0,2006,4092.35,6037
4.0,3.0,3382,609000.0,2006,7960.66,6037
4.0,3.0,3901,275761.0,2006,6125.04,6037
6.0,7.0,5819,1800000.0,2006,21576.11,6037
4.0,3.0,1897,257467.0,2010,4412.45,6037
6.0,3.0,2280,177181.0,2006,2463.91,6037
4.0,4.0,3134,2928460.0,2006,30965.68,6037
4.0,3.0,2114,298000.0,2006,5710.17,6037
5.0,4.0,3619,619293.0,2008,8098.83,6037
1.0,1.0,720,309623.0,1929,3689.48,6037
3.0,4.0,1807,403857.0,2005,5278.14,6037
4.0,3.0,2316,533000.0,2006,6523.19,6037
5.0,3.0,3128,319000.0,2006,4831.03,6037
3.0,2.0,1521,221910.0,2006,3157.8,6037
4.0,5.0,3657,1766630.0,2007,21243.15,6037
4.0,3.0,3347,264672.0,2007,4737.94,6037
2.0,1.0,770,239722.0,1964,3026.68,6037
2.0,2.0,2250,393501.0,1924,5174.01,6037
4.0,4.0,5115,2372500.0,2007,28486.06,6037
5.0,3.0,2505,217262.0,2006,3610.02,6037
5.0,6.0,5323,1948067.0,2007,22258.85,6037
3.0,5.0,5031,852711.0,2007,10325.44,6037
4.0,3.0,2695,275000.0,2007,5650.6,6037
6.0,5.0,6351,2747211.0,2006,32421.29,6037
4.0,2.0,1923,196403.0,2005,4350.34,6037
4.0,6.0,4803,1996155.0,2007,24023.18,6037
3.0,2.0,1908,210741.0,2007,3421.38,6037
3.0,2.0,1908,214000.0,2006,3460.83,6037
4.0,5.0,4997,1941625.0,2006,23381.49,6037
4.0,3.0,2240,466016.0,2007,5678.27,6037
4.0,3.0,2986,288100.0,2007,5988.86,6037
4.0,2.0,1716,191573.0,2007,3159.15,6037
3.0,3.0,2370,587000.0,2004,8321.32,6037
3.0,4.0,2607,1145296.0,2007,13533.72,6037
4.0,3.0,2568,283734.0,2008,6117.15,6037
3.0,4.0,3517,1242641.0,2008,13695.23,6037
3.0,2.0,1739,235700.0,2007,4722.56,6037
3.0,2.0,1923,232000.0,2008,3788.1,6037
5.0,3.0,2632,246500.0,2008,3967.51,6037
3.0,2.0,1349,195890.0,2007,2761.14,6037
4.0,3.0,2391,316200.0,2007,4029.69,6037
3.0,5.0,3132,640000.0,1952,8120.6,6037
3.0,2.0,1688,348925.0,2007,4155.45,6037
4.0,2.0,2933,329447.0,2014,4642.0,6037
5.0,5.0,3939,1675957.0,2001,18658.48,6037
5.0,3.0,3013,261225.0,2011,5541.55,6037
4.0,5.0,4298,1411075.0,2011,18801.65,6037
4.0,3.0,3210,290221.0,2012,4290.35,6037
3.0,2.0,1221,178822.0,2008,3791.6,6037
3.0,2.0,1690,116053.0,1941,1708.71,6037
3.0,3.0,1548,276123.0,2010,3408.49,6037
3.0,2.0,1221,159360.0,2009,3654.94,6037
4.0,4.0,3445,668962.0,2010,13667.24,6037
4.0,3.0,2369,541075.0,2012,7190.87,6037
4.0,2.0,1895,203466.0,2010,4215.95,6037
4.0,3.0,1649,149160.0,1995,2424.89,6037
3.0,2.0,1541,252000.0,2009,4654.5,6037
4.0,2.0,3272,345480.0,2015,5029.0,6037
7.0,6.0,4817,1698577.0,2011,22143.39,6037
3.0,1.0,1040,256241.0,2010,3551.84,6037
4.0,3.0,2545,275868.0,2012,7474.94,6037
5.0,4.0,3034,715448.0,2014,9257.92,6037
2.0,1.0,1191,361867.0,1950,4526.57,6037
6.0,4.0,3153,299770.0,2010,5828.52,6037
5.0,5.0,3427,1216751.0,2009,13320.61,6037
3.0,4.0,3296,821783.0,2009,10100.67,6037
3.0,2.0,1853,240106.0,2009,3870.47,6037
5.0,5.0,4041,1178600.0,2011,16024.46,6037
5.0,4.0,3619,580089.0,2010,7560.33,6037
3.0,2.0,1508,401546.0,1928,4905.64,6037
4.0,2.0,1635,92734.0,1962,1465.66,6037
3.0,1.0,1138,198154.0,1950,2708.18,6037
3.0,1.0,948,66220.0,1953,818.18,6037
4.0,2.0,1665,252423.0,1957,3163.81,6037
2.0,1.0,1200,172144.0,1939,2188.25,6037
6.0,3.0,1955,379370.0,1962,4494.95,6037
3.0,2.0,2064,232255.0,1955,2949.29,6037
2.0,2.0,1024,233086.0,1959,3388.6,6037
3.0,4.0,1688,248140.0,1955,3185.36,6037
4.0,2.0,1436,50004.0,1947,959.03,6037
3.0,1.0,1159,209297.0,1983,3057.8,6037
4.0,3.0,1864,395569.0,2005,4787.97,6037
5.0,4.0,3572,565851.0,2011,12714.33,6037
4.0,4.0,3837,2385836.0,2005,28966.06,6037
3.0,2.0,1924,484850.0,2011,11248.82,6037
4.0,3.0,1928,390605.0,2012,4829.51,6037
4.0,4.0,2691,664396.0,2012,9660.53,6037
2.0,3.0,2382,1722000.0,2014,20712.32,6037
3.0,4.0,3940,1071777.0,2013,12431.96,6037
4.0,3.0,1727,358880.0,2012,9141.09,6037
2.0,1.0,892,149802.0,1941,1912.19,6037
3.0,2.0,1162,732323.0,1952,8876.71,6037
4.0,3.0,1695,413177.0,2013,8077.08,6037
3.0,2.0,2201,242892.0,2013,3907.21,6037
4.0,4.0,3460,1008900.0,2015,19907.07,6037
3.0,3.0,1544,362240.0,2014,6975.03,6037
3.0,3.0,1511,292800.0,2015,6160.86,6037
3.0,1.0,1298,333055.0,1905,4101.47,6037
4.0,3.0,2596,760000.0,2005,9024.52,6037
6.0,5.0,6038,1383928.0,2016,15797.95,6037
6.0,8.0,6517,2913165.0,2010,36157.48,6037
4.0,2.0,1480,247821.0,1985,3554.2,6037
3.0,1.0,1424,737092.0,1913,8629.51,6037
2.0,2.0,1692,570000.0,1981,6928.82,6037
3.0,3.0,2815,668440.0,2016,6919.89,6037
4.0,4.0,2682,1153327.0,1955,13636.49,6037
5.0,4.0,4232,1600000.0,1977,17926.36,6037
3.0,2.0,1215,254777.0,1962,3183.5,6037
5.0,3.0,3057,877410.0,1995,10708.94,6037
6.0,6.0,7235,1456742.0,1991,17648.66,6037
3.0,3.0,2070,339531.0,1968,4301.07,6037
4.0,3.0,2194,492549.0,1964,6179.92,6037
4.0,3.0,2047,360557.0,1963,4505.21,6037
3.0,2.0,2053,423766.0,1986,5242.07,6037
3.0,2.0,1553,311974.0,1956,3974.86,6037
4.0,2.0,2006,194900.0,1956,2576.11,6037
4.0,3.0,2012,420000.0,1956,5232.9,6037
3.0,2.0,1358,204289.0,1956,2660.53,6037
4.0,2.0,1508,485000.0,1956,13725.28,6037
3.0,2.0,1358,328921.0,1956,4146.58,6037
3.0,2.0,1153,250600.0,1956,3138.96,6037
4.0,2.0,1917,183424.0,1956,2406.25,6037
4.0,2.0,1490,503228.0,1958,6133.53,6037
3.0,2.0,1358,63534.0,1956,930.44,6037
4.0,2.0,1570,251180.0,1957,3155.25,6037
3.0,2.0,1570,555000.0,1959,6839.42,6037
3.0,3.0,2070,546466.0,1964,6828.59,6037
4.0,3.0,3235,737114.0,1980,9039.53,6037
3.0,2.0,1819,561555.0,1973,6945.69,6037
5.0,4.0,2903,642674.0,1978,8033.81,6037
5.0,5.0,3001,596761.0,1997,7407.17,6037
4.0,2.0,1570,497837.0,1959,6157.67,6037
4.0,3.0,1906,242223.0,1959,3132.12,6037
4.0,3.0,2813,758330.0,1987,8940.23,6037
5.0,3.0,2331,224904.0,1965,2870.78,6037
5.0,5.0,4404,1131696.0,1989,14002.42,6037
4.0,3.0,2775,514070.0,1969,6342.82,6037
4.0,3.0,3649,1216751.0,1984,14895.98,6037
4.0,2.0,1404,67673.0,1960,939.66,6037
4.0,2.0,1570,410561.0,1960,5116.83,6037
3.0,2.0,1570,68715.0,1959,961.29,6037
4.0,2.0,1570,124379.0,1960,1622.23,6037
3.0,2.0,1570,492426.0,1960,6086.75,6037
3.0,2.0,1570,429746.0,1960,5342.29,6037
5.0,3.0,2280,144203.0,1965,2038.04,6037
3.0,2.0,1837,698984.0,1956,8481.36,6037
4.0,2.0,1404,504511.0,1959,6174.12,6037
3.0,2.0,1820,709601.0,1956,8682.58,6037
4.0,2.0,1877,82799.0,1957,1139.99,6037
4.0,3.0,1885,489515.0,1959,6070.69,6037
4.0,2.0,1638,388324.0,1957,4864.31,6037
4.0,2.0,1439,234343.0,1957,2937.28,6037
4.0,2.0,1354,62909.0,1957,886.2,6037
3.0,2.0,1744,341875.0,1950,4306.88,6037
4.0,4.0,3141,795778.0,1954,9709.99,6037
4.0,3.0,2497,810000.0,1963,9862.82,6037
2.0,1.0,1005,52767.0,1951,670.98,6037
3.0,2.0,1788,238322.0,1956,3002.57,6037
2.0,1.0,860,201278.0,1949,2522.13,6037
3.0,2.0,1360,85903.0,1955,1168.2,6037
3.0,2.0,1160,288488.0,1956,3486.42,6037
4.0,2.0,2115,493361.0,1960,6194.92,6037
4.0,3.0,1970,105374.0,1952,1519.36,6037
4.0,3.0,2762,549532.0,1947,6866.28,6037
4.0,2.0,2105,386602.0,1959,4840.68,6037
3.0,2.0,1705,740116.0,1953,9050.61,6037
3.0,2.0,1609,704578.0,1960,8588.77,6037
3.0,2.0,1425,467619.0,1921,5627.12,6037
2.0,1.0,1002,57527.0,1950,725.94,6037
3.0,2.0,2010,204691.0,1959,2663.14,6037
4.0,3.0,2996,804440.0,1977,9874.3,6037
3.0,2.0,1927,114476.0,1959,1566.6,6037
4.0,3.0,2306,743653.0,1961,9301.3,6037
4.0,2.0,2643,131710.0,1964,1859.14,6037
4.0,2.0,1861,283241.0,1961,3531.31,6037
3.0,2.0,1827,97506.0,1964,1327.17,6037
3.0,3.0,2242,114482.0,1961,1573.95,6037
4.0,3.0,2653,538801.0,1964,6668.89,6037
4.0,2.0,2093,409505.0,1964,5126.54,6037
4.0,2.0,2016,99157.0,1963,1389.38,6037
3.0,2.0,2438,136168.0,1964,1867.27,6037
4.0,3.0,2751,854315.0,1962,10526.17,6037
3.0,2.0,2254,101851.0,1962,1453.75,6037
3.0,2.0,1616,467966.0,1963,5840.78,6037
3.0,4.0,2214,1319390.0,1955,15114.56,6037
4.0,5.0,3491,2300000.0,1966,25964.45,6037
4.0,3.0,2347,83618.0,1975,1131.91,6037
4.0,2.0,1924,397144.0,1978,4776.48,6037
3.0,2.0,2811,352424.0,1980,4238.03,6037
3.0,3.0,2418,494112.0,1981,5806.51,6037
4.0,5.0,3330,695273.0,1995,8148.83,6037
3.0,3.0,1731,370792.0,1989,4634.03,6037
4.0,3.0,2918,1243680.0,1997,14219.14,6037
4.0,2.0,2160,596976.0,1985,6946.06,6037
4.0,2.0,1550,681353.0,1970,8343.26,6037
4.0,2.0,1550,82589.0,1971,1187.68,6037
3.0,2.0,1386,647615.0,1971,7478.66,6037
4.0,2.0,1850,153158.0,1972,2083.48,6037
4.0,2.0,1976,699710.0,1958,8573.15,6037
3.0,2.0,2003,447997.0,1957,5515.86,6037
3.0,2.0,2003,111935.0,1957,1510.51,6037
4.0,5.0,5300,1012000.0,1928,12490.3,6037
5.0,3.0,2748,712520.0,1965,8774.13,6037
4.0,2.0,2165,685292.0,1965,8539.89,6037
4.0,3.0,2107,433020.0,1966,5339.98,6037
4.0,3.0,2107,709832.0,1967,8721.37,6037
3.0,2.0,1988,725118.0,1956,8934.48,6037
2.0,2.0,1639,619000.0,1959,7655.46,6037
4.0,3.0,2305,317680.0,1962,4041.62,6037
4.0,4.0,4256,1180665.0,1990,14465.69,6037
4.0,3.0,2708,141419.0,1964,1904.53,6037
4.0,4.0,2372,450231.0,1970,5344.37,6037
4.0,3.0,2501,129815.0,1964,1777.08,6037
4.0,4.0,2926,648901.0,1965,7649.05,6037
4.0,2.0,2067,899572.0,1972,10323.92,6037
4.0,2.0,1812,463087.0,1971,5460.29,6037
4.0,2.0,1678,195952.0,1954,2403.2,6037
4.0,2.0,1192,199928.0,1954,2430.4,6037
3.0,2.0,1432,211876.0,1953,2597.75,6037
4.0,4.0,2640,482541.0,1956,5962.08,6037
3.0,2.0,1769,402487.0,1952,5130.88,6037
3.0,2.0,1432,470000.0,1954,5673.72,6037
4.0,2.0,2310,258471.0,1946,3341.15,6037
4.0,3.0,1834,245471.0,1952,3267.36,6037
1.0,1.0,1048,137614.0,1944,1738.74,6037
3.0,2.0,1499,475000.0,1956,5784.1,6037
3.0,2.0,1578,198579.0,1956,2431.96,6037
3.0,1.0,1133,232925.0,1953,2837.86,6037
3.0,2.0,1360,248282.0,1953,3113.72,6037
3.0,1.0,1235,247839.0,1953,3099.85,6037
3.0,3.0,2106,489379.0,1987,5909.98,6037
3.0,2.0,1291,68714.0,1954,922.11,6037
4.0,3.0,2144,429720.0,1968,5358.19,6037
3.0,2.0,1334,135592.0,1958,1690.47,6037
4.0,3.0,2474,271570.0,1990,3386.86,6037
3.0,2.0,1674,169753.0,1968,2139.5,6037
3.0,3.0,2111,456877.0,1970,5664.93,6037
3.0,2.0,1348,60632.0,1954,960.11,6037
3.0,2.0,1219,63108.0,1954,895.94,6037
4.0,3.0,2623,381858.0,1985,4719.07,6037
4.0,3.0,3229,614225.0,1978,7502.07,6037
4.0,3.0,1888,425837.0,1997,5198.49,6037
4.0,3.0,1958,467757.0,1969,5711.59,6037
4.0,2.0,1928,500000.0,1977,6167.15,6037
4.0,2.0,1508,222181.0,1955,2719.86,6037
3.0,2.0,1313,311968.0,1955,3783.75,6037
3.0,2.0,1236,360912.0,1954,4368.06,6037
4.0,2.0,1785,266521.0,1963,3341.7,6037
4.0,3.0,2353,435065.0,1959,5359.98,6037
3.0,2.0,1787,311186.0,1960,3947.02,6037
3.0,2.0,1363,316504.0,1958,3981.79,6037
3.0,2.0,1334,384885.0,1958,5840.9,6037
5.0,3.0,1399,389609.0,1953,4796.19,6037
4.0,3.0,1601,321147.0,1954,3957.59,6037
4.0,2.0,1972,253957.0,1957,3236.8,6037
3.0,2.0,1806,64774.0,1956,879.73,6037
4.0,2.0,2052,79962.0,1950,1107.06,6037
2.0,1.0,882,213833.0,1946,2648.92,6037
2.0,1.0,881,355337.0,1952,4324.4,6037
5.0,2.0,1661,243922.0,1955,2984.84,6037
3.0,2.0,1292,323593.0,1953,8314.22,6037
4.0,2.0,1869,71401.0,1955,940.13,6037
4.0,2.0,1450,242628.0,1955,2964.8,6037
3.0,2.0,1560,310761.0,1963,4977.47,6037
3.0,1.0,1373,87262.0,1951,1178.58,6037
3.0,2.0,1476,70571.0,1959,970.07,6037
3.0,2.0,1818,285494.0,1969,3533.32,6037
3.0,1.0,1133,231957.0,1952,2994.83,6037
3.0,2.0,1284,184374.0,1929,2400.94,6037
3.0,2.0,1314,344997.0,1956,4249.49,6037
2.0,2.0,1344,368095.0,1947,4576.29,6037
2.0,1.0,854,257034.0,1950,3180.73,6037
2.0,2.0,1189,62276.0,1940,849.33,6037
4.0,3.0,1789,246292.0,1953,3076.59,6037
3.0,2.0,1435,200961.0,1953,2520.91,6037
4.0,3.0,1677,294178.0,1953,3662.11,6037
4.0,2.0,1678,321954.0,1955,4126.11,6037
4.0,2.0,1571,76377.0,1952,1056.11,6037
6.0,2.0,1925,283995.0,1954,3523.1,6037
3.0,2.0,1471,476000.0,1956,5813.0,6037
2.0,1.0,1123,235470.0,1950,2907.66,6037
3.0,1.0,1321,527044.0,1950,6411.6,6037
4.0,3.0,2587,190455.0,1968,2392.33,6037
3.0,2.0,1408,479775.0,1950,5859.36,6037
3.0,1.0,1385,291657.0,1950,3687.77,6037
3.0,1.0,1298,69844.0,1950,885.02,6037
2.0,2.0,1200,73676.0,1950,999.73,6037
3.0,1.0,1118,154923.0,1947,1950.53,6037
3.0,2.0,1861,298466.0,1956,3696.83,6037
2.0,1.0,1494,556523.0,1936,6869.1,6037
5.0,4.0,2181,376691.0,1956,4657.28,6037
2.0,1.0,1197,61870.0,1951,923.46,6037
4.0,2.0,1937,582531.0,1969,7157.38,6037
3.0,2.0,1283,428201.0,1951,5169.47,6037
3.0,3.0,2118,241710.0,1960,2976.42,6037
3.0,2.0,1572,384885.0,1953,4742.69,6037
4.0,2.0,1451,82585.0,1955,1063.35,6037
3.0,2.0,1386,275730.0,1955,3349.45,6037
4.0,2.0,1755,480408.0,1954,5899.31,6037
3.0,1.0,1131,237754.0,1950,2968.66,6037
3.0,2.0,1361,171257.0,1956,2108.85,6037
